"Ano base","UF","Classe Substância","Substância Mineral","Quantidade Produção","Unidade de Medida - Produção","Quantidade Contido","Unidade de Medida - Contido","Indicação Contido","Quantidade Venda","Unidade de Medida - Venda","Valor Venda (R$)","Quantidade Consumo/Utilização na Usina","Unidade de Medida - Consumo/Utilização na Usina","Valor Consumo / Utilização na Usina (R$)","Quantidade Transferência para Transformação / Utilização / Consumo","Unidade de Medida - Transferência para Transformação / Utilização / Consumo","Valor Transferência para Transformação / Utilização / Consumo (R$)"
"2010","PA","Não-Metálicos","Calcário","80803,229999999996","t",",000000000000000","-","","80803,229999999996","t","3510776,6800000002","0","t","0","0","t","0"
"2010","PA","Não-Metálicos","Caulim","1620661","t",",000000000000000","-","","1595238,28","t","428003380,44","0","t","0","0","t","0"
"2010","PA","Não-Metálicos","Rochas (Britadas) e Cascalho","129211,89999999999","t",",000000000000000","-","","101293,89999999999","t","3235788,9499999997","0","t","0","27785","t","513715,85999999999"
"2010","PA","Não-Metálicos","Rochas Ornamentais","0","t",",000000000000000","-","","0","t","0","0","t","0","0","t","0"
"2010","PB","Metálicos","Titânio","82953,510000000009","t","45702,830000000000000","t","TiO2","83886,570000000007","t","20656362,850000001","0","t","0","0","t","0"
"2010","PB","Metálicos","Zircônio","21892,5","t","14183,130000000000000","t","ZrSiO4","21830,5","t","43026946,259999998","0","t","0","0","t","0"
"2010","PB","Não-Metálicos","Areias Industriais","1285","t",",000000000000000","-","","920","t","27600","0","t","0","0","t","0"
"2010","PB","Não-Metálicos","Argilas","434101,74999999994","t",",000000000000000","-","","353375,25999999995","t","94165245,550000012","0","t","0","81275","t","367969"
"2010","PB","Não-Metálicos","Calcário","2914468,46","t",",000000000000000","-","","17755","t","3551660","87,460000000000008","t","2644,8000000000002","2896626","t","20222181"
"2010","PB","Não-Metálicos","Cianita e outros minerais refratários","2834,9400000000001","t",",000000000000000","-","","3119","t","1269465,1100000001","0","t","0","0","t","0"
"2010","PB","Não-Metálicos","Dolomito e Magnesita","4285,54","t",",000000000000000","-","","0","t","0","4285,54","t","129595,2","0","t","0"
"2010","PB","Não-Metálicos","Feldspato, Leucita e Nefelina-Sienito","1785","t",",000000000000000","-","","1785","t","189012,28","0","t","0","0","t","0"
"2010","PB","Não-Metálicos","Rochas (Britadas) e Cascalho","696879,59000000008","t",",000000000000000","-","","660881,9800000001","t","16330585,690000001","0","t","0","0","t","0"
"2010","PB","Não-Metálicos","Rochas Ornamentais","10796","t",",000000000000000","-","","8058","t","7669024,7700000005","2716","t","1362504","0","t","0"
"2010","PE","Metálicos","Titânio","0","t",",000000000000000","t","TiO2","0","t","0","0","t","0","0","t","0"
"2010","PE","Não-Metálicos","Areias Industriais","165180,38","t",",000000000000000","-","","18009","t","103362,64999999999","0","t","0","145112,38","t","1720588,7"
"2010","PE","Não-Metálicos","Argilas","507824,04999999999","t",",000000000000000","-","","1962","t","174344,88","99445,229999999996","t","1259217","406416,82000000001","t","1968705,4199999999"
"2010","PE","Não-Metálicos","Calcário","768729,93999999994","t",",000000000000000","-","","87144,179999999993","t","14235529,82","675663,88","t","13380958,210000001","0","t","0"
"2010","PE","Não-Metálicos","Dolomito e Magnesita","418,80000000000001","t",",000000000000000","-","","418,80000000000001","t","44341,970000000001","0","t","0","0","t","0"
"2010","PE","Não-Metálicos","Gipsita","886049,34000000008","t",",000000000000000","-","","598971,34000000008","t","17514218,849999998","0","t","0","266289,07999999996","t","16496448,960000001"
"2010","PE","Não-Metálicos","Rochas (Britadas) e Cascalho","5248316,1799999997","t",",000000000000000","-","","5240417,8099999996","t","109811767,33999999","0","t","0","0","t","0"
"2010","PE","Não-Metálicos","Rochas Ornamentais","0","t",",000000000000000","-","","358,11000000000001","t","213271,87","0","t","0","54,950000000000003","t","15480,379999999999"
"2010","PE","Não-Metálicos","Vermiculita e Perlita","4704","t","3669,330000000000000","t","","1735","t","1480420,5800000001","0","t","0","0","t","0"
"2010","PI","Gemas e Diamantes","Diamante","710,79999999999995","ct","710,800000000000000","ct","","281,13999999999999","ct","63174","0","ct","0","0","ct","0"
"2010","PI","Gemas e Diamantes","Gemas","7,8000000000000007","kg","7,800000000000000","kg","","7,8000000000000007","kg","155,20000000000002","0","kg","0","0","kg","0"
"2010","PI","Não-Metálicos","Argilas","82022,010000000009","t",",000000000000000","-","","0","t","0","64772,009999999995","t","360441,56","17250","t","85750"
"2010","PI","Não-Metálicos","Calcário","1094242,0799999998","t",",000000000000000","-","","253840,47","t","12030271,189999999","5087","t","104408,60000000001","836290","t","1823112,2"
"2010","PI","Não-Metálicos","Rochas (Britadas) e Cascalho","583259,13","t",",000000000000000","-","","494191,16999999998","t","16216126,32","8523","t","113640","75995,009999999995","t","1665207,95"
"2010","PI","Não-Metálicos","Rochas Ornamentais","4401,9399999999996","t",",000000000000000","-","","3107,8299999999999","t","2255747,3799999999","0","t","0","0","t","0"
"2010","PR","Energéticos","Carvão Mineral","97545,070000000007","t",",000000000000000","-","","97532,970000000001","t","23611597,920000002","0","t","0","0","t","0"
"2010","PR","Gemas e Diamantes","Diamante","314,88","ct","314,880000000000000","ct","","0","ct","0","0","ct","0","0","ct","0"
"2010","PR","Metálicos","Ouro","439,72116999999997","kg","439,677200000000000","kg","Au","484,5","kg","33305,887000000002","0","kg","0","0","kg","0"
"2010","PR","Metálicos","Prata","65,329120000000003","kg","65,329120000000000","kg","Ag","0","kg","0","0","kg","0","0","kg","0"
"2010","PR","Não-Metálicos","Areia","1904862,97","t",",000000000000000","-","","1904858,97","t","21823857,900000006","0","t","0","0","t","0"
"2010","PR","Não-Metálicos","Areias Industriais","7199,4300000000003","t",",000000000000000","-","","5793,4300000000003","t","320206,60999999999","0","t","0","1406","t","28130"
"2010","PR","Não-Metálicos","Argilas","104540,61","t",",000000000000000","-","","105556,78999999999","t","1106828,3900000001","0","t","0","3645","t","485418,45000000001"
"2010","PR","Não-Metálicos","Calcário","11927744,040000001","t",",000000000000000","-","","3685747,4000000004","t","75615310,379999995","0","t","0","8319890,4699999997","t","60477336,120000005"
"2010","PR","Não-Metálicos","Caulim","2200","t",",000000000000000","-","","2110","t","63300","0","t","0","90","t","1800"
"2010","PR","Não-Metálicos","Dolomito e Magnesita","435993,81","t",",000000000000000","-","","415031,46999999997","t","4093064,3600000003","0","t","0","21495","t","31800,119999999999"
"2010","PR","Não-Metálicos","Feldspato, Leucita e Nefelina-Sienito","88820","t",",000000000000000","-","","0","t","0","0","t","0","108238,05","t","2626006,0099999998"
"2010","PR","Não-Metálicos","Fluorita e Criolita","11196,43","t","9803,300000000000000","t","","11583,68","t","8837470,5299999993","0","t","0","0","t","0"
"2010","PR","Não-Metálicos","Rochas (Britadas) e Cascalho","9861787,3000000026","t",",000000000000000","-","","9294230,2200000025","t","165736219,48000002","303061,71999999997","t","3477633,2200000002","197651,20000000001","t","2547866,5999999996"
"2010","PR","Não-Metálicos","Rochas Ornamentais","3727,8299999999999","t",",000000000000000","-","","2410,6500000000001","t","422134,83999999997","0","t","0","1317,1799999999998","t","0"
"2010","PR","Não-Metálicos","Talco e outras Cargas Minerais","35559,200000000004","t",",000000000000000","-","","33008,18","t","4564709,0199999996","0","t","0","3584","t","176974"
"2010","RJ","Metálicos","Monazita e Terras-Raras","248","t","248,000000000000000","t","ETR","0","t","0","0","t","0","0","t","0"
"2010","RJ","Metálicos","Titânio","6129","t","3556,140000000000000","t","TiO2","9811","t","3350988,6699999999","0","t","0","0","t","0"
"2010","RJ","Metálicos","Zircônio","1343","t","859,520000000000000","t","ZrSiO4","1519","t","2961618,3399999999","0","t","0","0","t","0"
"2010","RJ","Não-Metálicos","Areia","170808,79000000001","t",",000000000000000","-","","170808,79000000001","t","1532714,3600000001","0","t","0","0","t","0"
